,Наименование,Тип жилья,Общая площадь,Жилая площадь,Площадь кухни,Высота потолков,Санузел,Ремонт,Год постройки,Мусоропровод,Тип дома,Тип перекрытий,Подъезды,Отопление,Аварийность,Этаж,Адрес,Цена,Балкон/лоджия,Вид из окон,Количество лифтов,Парковка,Газоснабжение,Строительная серия
0,2-комн. квартира,Вторичка,60,28,18,"2,8 м",1 раздельный,Евроремонт,2017,Нет,Панельный,Нет информации,1,Нет информации,Нет,26 из 28,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Кузнечиха, бул. 60-летия Октября, 21к1На картеГорьковская9 мин.Московская15 мин.Ленинская16 мин.",9 000 000 ₽,,,,,,
1,3-комн. квартира,Вторичка,104,"49,7","22,1","2,7 м",2 совмещенных,Без ремонта,2023,,,Нет информации,,Нет информации,Нет,6 из 9,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Высоково, ул. Бориса Панина, 3На картеГорьковская4 мин.Московская10 мин.Ленинская12 мин.",18 800 000 ₽,1 лоджия,На улицу и двор,1 грузовой,Подземная,,
2,1-комн. квартира,Вторичка,50,"16,7","11,7","2,7 м",1 совмещенный,Без ремонта,2023,,,Нет информации,,Нет информации,Нет,6 из 10,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Высоково, ул. Ванеева, 40БНа картеГорьковская5 мин.Московская10 мин.Стрелка12 мин.",8 150 000 ₽,1 лоджия,Во двор,1 пассажирский,Наземная,,
3,3-комн. квартира,Вторичка,56,39,7,"2,5 м",1 раздельный,Евроремонт,1972,Нет,Монолитный,Железобетонные,4,Центральное,Нет,7 из 9,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. 6, 6-й микрорайон, 19На картеПарк культуры28 мин.Кировская40 мин.",6 300 000 ₽,1 лоджия,На улицу,1 пассажирский,Наземная,Центральное,
4,3-комн. квартира,Вторичка,"60,2","44,2",7,"2,65 м",1 раздельный,Евроремонт,1917,Да,Панельный,Железобетонные,6,Центральное,Нет,1 из 9,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Щербинки, ул. Маршала Жукова, 1На карте",6 990 000 ₽,1 лоджия,На улицу и двор,1 пассажирский,,Центральное,
5,2-комн. квартира,Вторичка,64,"32,3","11,3",,1 раздельный,Евроремонт,2012,,,Нет информации,2,Центральное,Нет,10 из 17,"Нижегородская область, Нижний Новгород, р-н Нижегородский, ул. Родионова, 39На карте",8 250 000 ₽,1 балкон,,"2 пассажирских, 1 грузовой",,,
6,2-комн. квартира,Вторичка,"38,1","22,7","6,1",,1 раздельный,Косметический,1979,Да,Панельный,Железобетонные,4,Центральное,Нет,3 из 9,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Щербинки, ул. Маршала Голованова, 45На карте",4 400 000 ₽,1 балкон,,1 пассажирский,,Центральное,
7,3-комн. квартира,Вторичка,60,"43,1",7,,1 раздельный,Косметический,1979,Да,Панельный,Железобетонные,9,Центральное,Нет,8 из 9,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Соцгород, ул. Строкина, 3АНа карте",5 800 000 ₽,1 балкон,,1 пассажирский,,Центральное,1-464
8,3-комн. квартира,Вторичка,"52,9","36,9",7,"2,55 м",1 раздельный,Косметический,1977,,Панельный,Железобетонные,4,Центральное,Нет,7 из 9,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Центр, ул. Максима Горького, 186На карте",7 750 000 ₽,2 лоджии,,1 пассажирский,,Центральное,
9,1-комн. квартира,Вторичка,"43,2","14,2",15,,1 совмещенный,,2018,Да,Блочный,Железобетонные,1,Индивидуальный тепловой пункт,Нет,12 из 25,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Молитовка, ул. Левобережная, 1На карте",7 000 000 ₽,1 балкон,,1 пассажирский,,,
10,2-комн. квартира,Вторичка,47,"32,8","6,1",,1 совмещенный,Косметический,1917,Да,Кирпичный,Железобетонные,6,Центральное,Нет,5 из 5,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. улица Бекетова, Чукотская ул., 5На карте",5 200 000 ₽,1 балкон,,,,Центральное,
11,1-комн. квартира,Вторичка,44,"14,4","11,4",,1 совмещенный,Евроремонт,2012,,Монолитный,Железобетонные,3,Центральное,Нет,4 из 17,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Верхние Печеры, ул. Богдановича, 6к1На карте",5 800 000 ₽,1 балкон,,"1 пассажирский, 1 грузовой",,,
12,3-комн. квартира,Вторичка,86,"54,5","14,1",,2 раздельных,Косметический,2018,Да,Монолитный,Нет информации,2,Нет информации,Нет,7 из 14,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Двигатель Революции, ул. Глеба Успенского, 1к3На карте",12 200 000 ₽,1 лоджия,,"1 пассажирский, 1 грузовой",,,
13,4-комн. квартира,Вторичка,130,68,"19,2",,2 совмещенных,Косметический,2021,,Кирпичный,Железобетонные,3,Центральное,Нет,2 из 7,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Центр, ул. Фрунзе, 16На карте",21 500 000 ₽,2 лоджии,,1 пассажирский,,,Индивидуальный проект
14,3-комн. квартира,Вторичка,"93,5","47,8","20,1","2,7 м",2 раздельных,Без ремонта,2022,,Блочный,Железобетонные,2,Индивидуальный тепловой пункт,Нет,24 из 25,"Нижегородская область, Нижний Новгород, р-н Нижегородский, ул. Тургенева, 25к1На картеГорьковская5 мин.",16 000 000 ₽,1 лоджия,Во двор,"2 пассажирских, 3 грузовых",Наземная,,
15,3-комн. квартира,Вторичка,92,50,18,,1 раздельный,Без ремонта,,Да,Монолитно-кирпичный,,,,,6 из 18,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Центр, ул. Белинского, 66На картеГорьковская8 мин.Московская5 мин.Стрелка5 мин.",22 000 000 ₽,1 балкон,,1 пассажирский,,,
16,3-комн. квартира,Вторичка,"74,7",43,"8,2","2,5 м",1 раздельный,Косметический,1999,Да,Монолитно-кирпичный,Железобетонные,5,Центральное,Нет,8 из 10,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, Космическая ул., 30На карте",6 950 000 ₽,2 лоджии,Во двор,1 пассажирский,,,
17,2-комн. квартира,Вторичка,"47,4","29,3",9,,2 раздельных,Косметический,1994,,Кирпичный,Железобетонные,5,Центральное,Нет,2 из 10,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Высоково, Полтавская ул., 47На карте",7 700 000 ₽,1 лоджия,,1 пассажирский,,Центральное,
18,1-комн. квартира,Вторичка,58,,13,"2,7 м",1 совмещенный,Дизайнерский,2018,Нет,,Нет информации,,Нет информации,Нет,8 из 18,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Высоково, Республиканская ул., 43к3На картеГорьковская5 мин.Московская10 мин.Ленинская12 мин.",11 900 000 ₽,1 балкон,,"2 пассажирских, 1 грузовой",Многоуровневая,,
19,3-комн. квартира,Вторичка,"88,5",55,9,3 м,1 совмещенный,Косметический,1938,,Кирпичный,Деревянные,4,Центральное,Нет,1 из 3,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Центр, ул. Короленко, 12На картеГорьковская2 мин.",12 300 000 ₽,1 лоджия,На улицу и двор,,,Центральное,
20,2-комн. квартира,Вторичка,"46,2","30,4","5,7",,1 совмещенный,Косметический,1970,,Кирпичный,Железобетонные,6,Центральное,Нет,3 из 5,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Сортировочный, Московское ш., 262На карте",3 850 000 ₽,1 балкон,,,,Центральное,
21,1-комн. квартира,Вторичка,"31,3","19,1","5,4","2,5 м",1 совмещенный,Косметический,1967,,,Железобетонные,6,Центральное,Нет,5 из 5,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Нагорный, ул. Адмирала Васюнина, 5к1На карте",4 190 000 ₽,1 балкон,,,,Центральное,
22,2-комн. квартира,Вторичка,"38,6","27,5",5,,1 совмещенный,Косметический,1962,Да,Кирпичный,Железобетонные,1,Центральное,Нет,3 из 3,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. улица Бекетова, Чукотская ул., 16На карте",3 470 000 ₽,,,,,Центральное,
23,2-комн. квартира,Вторичка,"37,3","20,9","6,5","2,7 м",1 совмещенный,Евроремонт,1960,,,Железобетонные,1,Котел/Квартирное отопление,Нет,2 из 3,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. улица Бекетова, ул. Четверикова, 9На карте",4 100 000 ₽,,Во двор,,,Центральное,
24,1-комн. квартира,Вторичка,"27,9","17,1",5,,1 раздельный,Косметический,1964,,,Нет информации,6,Центральное,Нет,2 из 5,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Московский проспект, просп. Героев, 31На карте",3 300 000 ₽,1 балкон,На улицу,,,Центральное,
25,1-комн. квартира,Вторичка,"45,1","15,7",16,,1 совмещенный,Косметический,2004,,Кирпичный,Железобетонные,3,Центральное,Нет,2 из 19,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Верхние Печеры, Казанское ш., 5На карте",5 800 000 ₽,1 лоджия,,"1 пассажирский, 2 грузовых",,,
26,1-комн. квартира,Вторичка,"41,3","16,3","9,6","2,8 м",1 раздельный,,2013,Да,Монолитный,Железобетонные,8,Центральное,Нет,11 из 14,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Щербинки, просп. Гагарина, 101к5На карте",6 500 000 ₽,,На улицу,2 пассажирских,,,
27,3-комн. квартира,Вторичка,63,,8,"2,5 м",1 раздельный,Без ремонта,1988,,Кирпичный,Железобетонные,5,Центральное,Нет,5 из 9,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Дубенки, Горная ул., 20На карте",6 999 000 ₽,1 лоджия,На улицу и двор,1 пассажирский,,Центральное,
